latitude,longitude,sorting
59.10033,-176.334,2.14
59.7055,-172.58133,1.7596
59.325,-175.0725,1.5109
58.8,-178,1.43
59.72,-172.612,2.22
59.37333,-174.88,2.14
59.375,-174.925,2.15
60.02333,-170.62833,1.34
59.98167,-171.025,1.64
59.83333,-172.18333,1.18
59.175,-176.4867,2.49
60.033,-171.433,1.23
60.42333,-168.30333,0.38
59.1735,-177.01,1.4943
59.10333,-177.455,1.9
59.71933,-173.91883,1.4422
59.265,-176.7,2.05
60.538,-167.68,0.47
59.07833,-177.81833,1.12
59.33833,-176.4285,1.5018
60.524,-168.24367,1.52
59.1695,-177.66533,1.4498
59.36667,-176.66667,2.13
59.75333,-174.41167,2.41
60.713,-166.9,0.35
59.19633,-177.6715,1.2817
59.56,-175.667,2.41
60.17,-171.7,0.79
60.1405,-171.9635,1.4108
59.70067,-175.01817,2.12
60.298,-171.003,1.9
59.52834,-176.14999,2.04
60.367,-170.573,1.33
60.535,-169.30167,0.66
60.348,-171,1.85
59.65,-175.883,2.42
60.333,-171.587,1.34
59.46667,-177.09333,2.11
60.787,-167.755,0.34
59.964,-174.18483,2.28
60.535,-170.07001,1.49
60.332,-171.703,1.49
59.41667,-177.65334,1.25
60.548,-170.498,0.45
60.463,-171.217,1.97
59.42333,-177.85333,1.28
60.61,-170.27667,1.22
60.89,-167.8,0.37
60.607,-170.367,1.1
60.138,-173.908,2.25
59.792,-176.167,2.46
59.43834,-178.25166,1.62
60.24067,-173.73583,2.18
59.47538,-178.2492,1.83
60.03167,-175.145,2.53
59.855,-176.34167,2.21
61.001666666666665,-168.04,1.249
60.475,-172.45,3.42
59.7,-177.3,1.49
60.537,-172.113,2.12
59.913,-176.325,3.19
59.63883,-177.86917,1.83
59.87533,-176.59367,1.474
59.7515,-177.35383,1.87
60.615,-172.132,2.6
59.84667,-177.11333,2.26
60.24167,-174.81167,2.38
59.8045,-177.409,2.03
59.816,-177.434,2.16
59.86283,-177.25483,1.5296
59.826,-177.4965,2.12
60.20833,-175.42,2.24
59.85334,-177.49167,2.13
60.375,-174.437,2.42
60.385,-174.448,2.5
60.13117,-176.0035,1.5112
60.183,-175.716,3.0963
60.005,-176.91667,2.32
60.23667,-175.59167,2.18
60.833,-171.69,2.28
60.28783,-175.39,1.5121
59.965,-177.42166,2.17
60.18383,-176.21833,2.38
60.183839999999996,-176.21834,1.77
61.083,-170.25,1.73333
61.33166666666666,-168.07666666666665,1.307
60.722,-173.087,2.88
60.29167,-175.905,2.67
60.005,-177.53334,2.23
60.09167,-177.19167,2.22
