width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
83,PO2625,4,4,5,5,94,17.955,-0.3,5.502575852,0.014673258,0.002079
83,PO2726,7,7,18,18,106,17.782,1.3,5.964650876,0.014091204,0.002411
83,Q26,6,6,0,0,90,19.413,-0.2,5.945693096,0.015632713,0.002159
83,Q30,2,2,10,10,137,18.04,2.1,6.254995441,0.014274615,0.002419
83,Q31,2,2,12,12,147,18.04,2,6.005221973,0.014006375,0.002255
83,QP2625,2,2,2,2,87,17.674,0.4,5.642188314,0.013995314,0.001856
83,QP2726,13,13,18,18,100,18.343,0.6,6.156088468,0.014455544,0.002417
83,R29,17.95,2,62.8456,4,118,17.438,1.7,6.378360304,0.014067725,0.002035
83,R30,22,22,56.7613,17,129,18.04,2,6.348531674,0.014479741,0.0024
83,R31,7,7,38,38,147,18.177,2,6.085079067,0.014764589,0.002316
83,R32,1,1,4,4,162,18.177,2.5,5.085582753,0.014663897,0.002538
83,S28,4,4,0,0,102,16.785,1,6.443201463,0.013340289,0.002063
83,S29,54.98,11,14.2515,9,111,16.76,1.7,6.394496666,0.013452353,0.002414
83,S30,4,4,65.6265,3,122,17.873,1.9,6.3905984,0.013897558,0.001952
83,S31,7.035,1,17.6589,2,132,18.04,2.1,6.093261242,0.014232538,0.002154
83,T25,0,0,7.9795,1,73,18.98,-1.4,5.657105228,0.015671389,0.001628
83,T30,18,18,3,3,117,17.873,1.8,6.407144772,0.013954879,0.001966
88,F18,0,0,5,5,107,17.882,2.3,3.309177913,0.013930624,0.002155
88,F21,1,1,0,0,97,17.654,2.3,3.031825009,0.014396391,0.002062
88,F22,4,4,1,1,113,17.814,3.7,3.66151186,0.01465671,0.001968
88,G18,0,0,4,4,81,17.73,-0.5,3.210886413,0.015709323,0.001757
88,H18,0,0,1,1,74,17.655,-0.7,3.312258852,0.015714934,0.001505
88,H23,0,0,6,6,99,17.653,3.5,4.207180244,0.014313227,0.002664
88,I18,0,0,4,4,71,17.168,-0.2,3.464881134,0.01426035,0.001726
88,I21,0,0,2,2,73,15.877,-0.3,3.407365428,0.012535312,0.001424
88,I22,6,6,6.722,5,84,16.847,1.8,3.995256604,0.013787421,0.002207
88,I23,31,31,27.6374,19,99,17.1,2.8,4.53177275,0.013869834,0.002579
88,IH2120,1,1,1,1,69,19.724,-0.5,3.084690721,0.01393945,0.001573
88,IH2221,1,1,1,1,74,16.502,2.8,3.536009676,0.013586867,0.001467
88,J18,0,0,3,3,69,17.01,-1.3,3.53616725,0.013955533,0.001729
88,J19,0,0,3,3,70,17.674,-1.4,3.383303385,0.016108009,0.001967
88,J20,2,2,12,12,70,17.531,-1.3,3.420389645,0.014342088,0.001781
88,J21,9,9,40.7616,22,74,21.313,-0.7,3.782849245,0.017883537,0.001866
88,J22,1,1,0,0,86,17.659,1.2,4.363528075,0.014132744,0.002204
88,J23,4,4,5,5,98,17.654,2,4.825662831,0.014478744,0.002223
88,J24,5,5,10,10,104,17.238,2.2,4.898351515,0.010564225,0.001779
88,J25,5,5,3,3,108,18.31,2.8,4.497124707,0.01693322,0.002364
88,JI2019,1,1,6,6,66,16.21,-1.4,3.256647755,0.013214119,0.001637
88,JI2120,0,0,1,1,71,16.959,-1.1,3.396841343,0.013854358,0.001986
88,JI2221,2,2,0,0,77,17.237,0.3,3.883139896,0.014156848,0.001922
